0,26
3,26
6,27
9,27
12,28
15,34
18,36
21,37
24,37
27,39
30,39
33,39
36,39
39,41
42,50
45,52
48,52
51,52
54,52
57,52
60,52
63,51
66,51
69,53
72,53
75,53
78,53
81,54
84,54
87,55
90,56
93,56
96,56
99,56
102,56
105,57
108,57
111,56
114,57
117,58
120,68
123,68
126,68
129,69
132,69
135,71
138,70
141,70
144,72
147,72
150,72
153,72
156,72
159,72
162,75
165,75
168,76
171,77
174,77
177,77
180,77
183,77
186,77
189,79
192,79
195,79
198,79
201,79
204,79
207,80
210,80
213,80
216,80
219,80
222,80
225,80
228,80
231,80
234,80
237,81
240,81
243,81
246,81
249,81
252,82
255,82
258,83
261,83
264,83
267,83
270,84
273,84
276,84
279,84
282,84
285,84
